Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Monthly % Change
1/1/11,1282.62,22.96,78.67,220.22,3.39,1455.09,26.05,89.25,22.98,3.00166846
2/1/11,1321.12,23.2,79.99,221.31,3.58,1491.41,26.19,90.3,23.49,-1.258780429
3/1/11,1304.49,23.43,81.31,223.47,3.41,1458.42,26.19,90.9,22.9,2.071307561
4/1/11,1331.51,23.73,82.16,224.91,3.46,1479.1,26.36,91.27,23.14,0.51069838
5/1/11,1338.31,24.04,83.02,225.96,3.17,1479.69,26.58,91.79,23.06,-3.8122707
6/1/11,1287.29,24.34,83.87,225.72,3,1424.81,26.94,92.83,22.1,2.944169534
7/1/11,1325.19,24.62,84.91,225.92,3,1465.46,27.23,93.89,22.61,-10.55546752
8/1/11,1185.31,24.9,85.94,226.54,2.3,1307.17,27.46,94.78,20.05,-0.964304697
9/1/11,1173.88,25.18,86.98,226.89,1.98,1292.6,27.73,95.78,19.7,2.840154019
10/1/11,1207.22,25.6,86.97,226.42,2.15,1332.06,28.24,95.96,20.16,1.590430907
11/1/11,1226.42,26.01,86.96,226.23,2.01,1354.39,28.73,96.03,20.35,1.377994488
12/1/11,1243.32,26.43,86.95,225.67,1.98,1376.45,29.26,96.26,20.52,4.605411318
1/1/12,1300.58,26.74,87.48,226.66,1.97,1433.53,29.47,96.42,21.21,3.991296191
2/1/12,1352.49,27.04,88.01,227.66,1.97,1484.21,29.68,96.58,21.8,2.717210478
3/1/12,1389.24,27.35,88.54,229.39,2.17,1513.05,29.79,96.43,22.05,-0.202268866
4/1/12,1386.43,27.67,88.33,230.09,2.05,1505.44,30.05,95.92,21.78,-3.2572867
5/1/12,1341.27,28,88.13,229.81,1.8,1458.12,30.44,95.8,20.94,-1.326354873
6/1/12,1323.48,28.32,87.92,229.48,1.62,1440.89,30.83,95.72,20.55,2.742769063
7/1/12,1359.78,28.74,87.45,229.1,1.53,1482.83,31.34,95.36,21,3.211548927
8/1/12,1403.45,29.17,86.97,230.38,1.68,1521.98,31.63,94.32,21.41,2.847981759
9/1/12,1443.42,29.59,86.5,231.41,1.72,1558.37,31.95,93.39,21.78,-0.387967466
10/1/12,1437.82,30.14,86.5,231.32,1.75,1552.93,32.56,93.43,21.58,-3.012199024
